SOC_CODE,OCC_TITLE,A_MEAN
172080,Environmental Engineers,96890
172081,Environmental Engineers,96890
172110,"Industrial Engineers, Including Health and Safety",93890
172111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",97330
172112,Industrial Engineers,93610
172120,Marine Engineers and Naval Architects,99590
172121,Marine Engineers and Naval Architects,99590
172130,Materials Engineers,100550
172131,Materials Engineers,100550
172140,Mechanical Engineers,95560
172141,Mechanical Engineers,95560
172150,"Mining and Geological Engineers, Including Mining Safety Engineers",100140
172151,"Mining and Geological Engineers, Including Mining Safety Engineers",100140
172160,Nuclear Engineers,125130
172161,Nuclear Engineers,125130
172170,Petroleum Engineers,154330
172171,Petroleum Engineers,154330
172190,Miscellaneous Engineers,107060
172199,"Engineers, All Other",107060
173000,"Drafters, Engineering Technicians, and Mapping Technicians",61660
173010,Drafters,60390
173011,Architectural and Civil Drafters,59120
173012,Electrical and Electronics Drafters,65720
173013,Mechanical Drafters,61490
173019,"Drafters, All Other",56530
173020,"Engineering Technologists and Technicians, Except Drafters",63740
173021,Aerospace Engineering and Operations Technologists and Technicians,70680
173022,Civil Engineering Technologists and Technicians,56590
173023,Electrical and Electronic Engineering Technologists and Technicians,68310
173024,Electro-Mechanical and Mechatronics Technologists and Technicians,62800
173025,Environmental Engineering Technologists and Technicians,56570
173026,Industrial Engineering Technologists and Technicians,59920
173027,Mechanical Engineering Technologists and Technicians,60880
173030,Surveying and Mapping Technicians,49770
173031,Surveying and Mapping Technicians,49770
173098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",67640
190000,"Life, Physical, and Social Science Occupations",79360
191000,Life Scientists,91710
191010,Agricultural and Food Scientists,76320
191011,Animal Scientists,74540
191012,Food Scientists and Technologists,80190
191013,Soil and Plant Scientists,73040
191020,Biological Scientists,91550
191021,Biochemists and Biophysicists,104810
191022,Microbiologists,91840
191023,Zoologists and Wildlife Biologists,70510
191029,"Biological Scientists, All Other",89910
191030,Conservation Scientists and Foresters,68120
191031,Conservation Scientists,69020
191032,Foresters,66000
191040,Medical Scientists,100780
191041,Epidemiologists,83620
191042,"Medical Scientists, Except Epidemiologists",101800
191090,Miscellaneous Life Scientists,92170
191099,"Life Scientists, All Other",92170
192000,Physical Scientists,93560
192010,Astronomers and Physicists,136480
192011,Astronomers,126250
192012,Physicists,137700
192020,Atmospheric and Space Scientists,100550
192021,Atmospheric and Space Scientists,100550
192030,Chemists and Materials Scientists,87800
192031,Chemists,86410
192032,Materials Scientists,104450
192040,Environmental Scientists and Geoscientists,88140
192041,"Environmental Scientists and Specialists, Including Health",80090
192042,"Geoscientists, Except Hydrologists and Geographers",112110
192043,Hydrologists,90150
192090,Miscellaneous Physical Scientists,110100
192099,"Physical Scientists, All Other",110100
193000,Social Scientists and Related Workers,90150
193010,Economists,120880
193011,Economists,120880
193020,Survey Researchers,66960
193022,Survey Researchers,66960
193030,Psychologists,90710
193031,"Clinical, Counseling, and School Psychologists",89290
193032,Industrial-Organizational Psychologists,112690
193039,"Psychologists, All Other",100130
193040,Sociologists,93420
193041,Sociologists,93420
193050,Urban and Regional Planners,79410
193051,Urban and Regional Planners,79410
193090,Miscellaneous Social Scientists and Related Workers,90750
193091,Anthropologists and Archeologists,69960
193092,Geographers,85620
193093,Historians,68400
193094,Political Scientists,124100
193099,"Social Scientists and Related Workers, All Other",91280
194000,"Life, Physical, and Social Science Technicians",53010
194010,Agricultural and Food Science Technicians,45920
194010,Agricultural and Food Science Technicians,45920
194020,Biological Technicians,49490
194021,Biological Technicians,49490
194030,Chemical Technicians,53700
194031,Chemical Technicians,53700
194040,Environmental Science and Geoscience Technicians,54300
194042,"Environmental Science and Protection Technicians, Including Health",50960
194045,Geological and Hydrologic Technicians,61130
194050,Nuclear Technicians,83810
194051,Nuclear Technicians,83810
194060,Social Science Research Assistants,53560
194061,Social Science Research Assistants,53560
194070,Forest and Conservation Technicians,42780
194071,Forest and Conservation Technicians,42780
