SOC_CODE,OCC_TITLE,A_MEAN
393020,Motion Picture Projectionists,34380
393021,Motion Picture Projectionists,34380
393030,"Ushers, Lobby Attendants, and Ticket Takers",26390
393031,"Ushers, Lobby Attendants, and Ticket Takers",26390
393090,Miscellaneous Entertainment Attendants and Related Workers,26430
393091,Amusement and Recreation Attendants,25610
393092,Costume Attendants,51780
393093,"Locker Room, Coatroom, and Dressing Room Attendants",29320
393099,"Entertainment Attendants and Related Workers, All Other",32580
394011,Embalmers,50220
394020,Funeral Attendants,31130
394021,Funeral Attendants,31130
394030,"Morticians, Undertakers, and Funeral Arrangers",59000
394031,"Morticians, Undertakers, and Funeral Arrangers",59000
395000,Personal Appearance Workers,33460
395010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",32990
395011,Barbers,38050
395012,"Hairdressers, Hairstylists, and Cosmetologists",32740
395090,Miscellaneous Personal Appearance Workers,34580
395091,"Makeup Artists, Theatrical and Performance",99990
395092,Manicurists and Pedicurists,29010
395093,Shampooers,24320
395094,Skincare Specialists,41230
396000,"Baggage Porters, Bellhops, and Concierges",32580
396010,"Baggage Porters, Bellhops, and Concierges",32580
396011,Baggage Porters and Bellhops,29060
396012,Concierges,35310
397000,Tour and Travel Guides,32200
397010,Tour and Travel Guides,32200
397010,Tour and Travel Guides,32200
399010,Childcare Workers,26790
399011,Childcare Workers,26790
399030,Recreation and Fitness Workers,37310
399031,Exercise Trainers and Group Fitness Instructors,45650
399032,Recreation Workers,30960
399040,Residential Advisors,33430
399041,Residential Advisors,33430
399098,"Crematory Operators and Personal Care and Service Workers, All Other",30330
410000,Sales and Related Occupations,45750
411000,Supervisors of Sales Workers,55200
411010,First-Line Supervisors of Sales Workers,55200
411011,First-Line Supervisors of Retail Sales Workers,47300
411012,First-Line Supervisors of Non-Retail Sales Workers,90120
412000,Retail Sales Workers,29010
412010,Cashiers,25730
412011,Cashiers,25710
412012,Gambling Change Persons and Booth Cashiers,29110
412020,Counter and Rental Clerks and Parts Salespersons,35380
412021,Counter and Rental Clerks,34700
412022,Parts Salespersons,36350
412030,Retail Salespersons,30940
412031,Retail Salespersons,30940
413000,"Sales Representatives, Services",75170
413010,Advertising Sales Agents,68040
413011,Advertising Sales Agents,68040
413020,Insurance Sales Agents,69100
413021,Insurance Sales Agents,69100
413030,"Securities, Commodities, and Financial Services Sales Agents",96540
413031,"Securities, Commodities, and Financial Services Sales Agents",96540
413040,Travel Agents,46650
413041,Travel Agents,46650
413090,"Miscellaneous Sales Representatives, Services",70490
413091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",70490
414000,"Sales Representatives, Wholesale and Manufacturing",78310
414010,"Sales Representatives, Wholesale and Manufacturing",78310
414011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",99680
414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",73500
419000,Other Sales and Related Workers,54890
419010,"Models, Demonstrators, and Product Promoters",37630
419011,Demonstrators and Product Promoters,37080
419012,Models,54050
419020,Real Estate Brokers and Sales Agents,66890
419021,Real Estate Brokers,81630
419022,Real Estate Sales Agents,62990
419030,Sales Engineers,117270
419031,Sales Engineers,117270
419040,Telemarketers,30930
419041,Telemarketers,30930
419090,Miscellaneous Sales and Related Workers,39590
419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",36740
419099,"Sales and Related Workers, All Other",39750
430000,Office and Administrative Support Occupations,42390
431000,Supervisors of Office and Administrative Support Workers,62010
431010,First-Line Supervisors of Office and Administrative Support Workers,62010
431011,First-Line Supervisors of Office and Administrative Support Workers,62010
432000,Communications Equipment Operators,35050
432010,"Switchboard Operators, Including Answering Service",33980
432011,"Switchboard Operators, Including Answering Service",33980
432020,Telephone Operators,39340
432021,Telephone Operators,39340
432090,Miscellaneous Communications Equipment Operators,49260
432099,"Communications Equipment Operators, All Other",49260
433000,Financial Clerks,41920
433010,Bill and Account Collectors,40630
433011,Bill and Account Collectors,40630
433020,Billing and Posting Clerks,41610
433021,Billing and Posting Clerks,41610
433030,"Bookkeeping, Accounting, and Auditing Clerks",44100
433031,"Bookkeeping, Accounting, and Auditing Clerks",44100
433040,Gambling Cage Workers,29700
433041,Gambling Cage Workers,29700
433050,Payroll and Timekeeping Clerks,48290
433051,Payroll and Timekeeping Clerks,48290
433060,Procurement Clerks,45400
433061,Procurement Clerks,45400
433070,Tellers,32960
433071,Tellers,32960
433090,Miscellaneous Financial Clerks,46310
433099,"Financial Clerks, All Other",46310
434000,Information and Record Clerks,37900
434010,Brokerage Clerks,58460
434011,Brokerage Clerks,58460
434020,Correspondence Clerks,40070
434021,Correspondence Clerks,40070
434030,"Court, Municipal, and License Clerks",43490
434031,"Court, Municipal, and License Clerks",43490
434040,"Credit Authorizers, Checkers, and Clerks",43580
434041,"Credit Authorizers, Checkers, and Clerks",43580
434050,Customer Service Representatives,38510
434051,Customer Service Representatives,38510
434060,"Eligibility Interviewers, Government Programs",47990
434061,"Eligibility Interviewers, Government Programs",47990
434070,File Clerks,36140
434071,File Clerks,36140
434080,"Hotel, Motel, and Resort Desk Clerks",26900
434081,"Hotel, Motel, and Resort Desk Clerks",26900
434110,"Interviewers, Except Eligibility and Loan",37640
434111,"Interviewers, Except Eligibility and Loan",37640
434120,"Library Assistants, Clerical",30740
434121,"Library Assistants, Clerical",30740
434130,Loan Interviewers and Clerks,42780
434131,Loan Interviewers and Clerks,42780
434140,New Accounts Clerks,39870
434141,New Accounts Clerks,39870
434150,Order Clerks,37660
434151,Order Clerks,37660
434160,"Human Resources Assistants, Except Payroll and Timekeeping",44170
434161,"Human Resources Assistants, Except Payroll and Timekeeping",44170
434170,Receptionists and Information Clerks,32410
434171,Receptionists and Information Clerks,32410
434180,Reservation and Transportation Ticket Agents and Travel Clerks,45710
434181,Reservation and Transportation Ticket Agents and Travel Clerks,45710
434190,Miscellaneous Information and Record Clerks,43880
434199,"Information and Record Clerks, All Other",43880
435000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",44930
435010,Cargo and Freight Agents,47170
435011,Cargo and Freight Agents,47170
435020,Couriers and Messengers,33010
435021,Couriers and Messengers,33010
435030,Dispatchers,45170
435031,Public Safety Telecommunicators,45800
435032,"Dispatchers, Except Police, Fire, and Ambulance",44860
435040,"Meter Readers, Utilities",46160
435041,"Meter Readers, Utilities",46160
435050,Postal Service Workers,52500
435051,Postal Service Clerks,51200
435052,Postal Service Mail Carriers,53180
435053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",51440
435060,"Production, Planning, and Expediting Clerks",52000
435061,"Production, Planning, and Expediting Clerks",52000
435070,"Shipping, Receiving, and Inventory Clerks",37210
435071,"Shipping, Receiving, and Inventory Clerks",37210
435110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",38080
435111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",38080
436000,Secretaries and Administrative Assistants,44800
436010,Secretaries and Administrative Assistants,44800
436011,Executive Secretaries and Executive Administrative Assistants,65230
436012,Legal Secretaries and Administrative Assistants,52750
436013,Medical Secretaries and Administrative Assistants,39000
436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",40420
439000,Other Office and Administrative Support Workers,38290
439020,Data Entry and Information Processing Workers,37350
439021,Data Entry Keyers,35850
439022,Word Processors and Typists,42630
439030,Desktop Publishers,50600
439031,Desktop Publishers,50600
439040,Insurance Claims and Policy Processing Clerks,45070
439041,Insurance Claims and Policy Processing Clerks,45070
439050,"Mail Clerks and Mail Machine Operators, Except Postal Service",33700
439051,"Mail Clerks and Mail Machine Operators, Except Postal Service",33700
439060,"Office Clerks, General",37770
439061,"Office Clerks, General",37770
439070,"Office Machine Operators, Except Computer",36580
439071,"Office Machine Operators, Except Computer",36580
439080,Proofreaders and Copy Markers,44670
439081,Proofreaders and Copy Markers,44670
439110,Statistical Assistants,52120
439111,Statistical Assistants,52120
439190,Miscellaneous Office and Administrative Support Workers,39340
439199,"Office and Administrative Support Workers, All Other",39340
450000,"Farming, Fishing, and Forestry Occupations",33310
451000,"Supervisors of Farming, Fishing, and Forestry Workers",54420
451010,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",54420
451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",54420
452000,Agricultural Workers,31180
452010,Agricultural Inspectors,48620
452011,Agricultural Inspectors,48620
452020,Animal Breeders,43930
452021,Animal Breeders,43930
452040,"Graders and Sorters, Agricultural Products",29620
452041,"Graders and Sorters, Agricultural Products",29620
452090,Miscellaneous Agricultural Workers,30620
452091,Agricultural Equipment Operators,34070
452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",30140
452093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",31060
452099,"Agricultural Workers, All Other",34330
454000,"Forest, Conservation, and Logging Workers",42230
454010,Forest and Conservation Workers,33520
454011,Forest and Conservation Workers,33520
454020,Logging Workers,43740
454021,Fallers,49520
454022,Logging Equipment Operators,43570
454023,Log Graders and Scalers,38940
454029,"Logging Workers, All Other",41830
470000,Construction and Extraction Occupations,53940
471000,Supervisors of Construction and Extraction Workers,72990
471010,First-Line Supervisors of Construction Trades and Extraction Workers,72990
471011,First-Line Supervisors of Construction Trades and Extraction Workers,72990
472000,Construction Trades Workers,52580
472010,Boilermakers,67430
472011,Boilermakers,67430
472020,"Brickmasons, Blockmasons, and Stonemasons",56750
472021,Brickmasons and Blockmasons,58420
472022,Stonemasons,48290
472030,Carpenters,54200
472031,Carpenters,54200
472040,"Carpet, Floor, and Tile Installers and Finishers",47650
472041,Carpet Installers,46150
472042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",49740
472043,Floor Sanders and Finishers,41400
472044,Tile and Stone Setters,48490
472050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",49490
472051,Cement Masons and Concrete Finishers,49390
472053,Terrazzo Workers and Finishers,56440
472060,Construction Laborers,43000
472061,Construction Laborers,43000
472070,Construction Equipment Operators,54540
472071,"Paving, Surfacing, and Tamping Equipment Operators",46400
472072,Pile Driver Operators,71880
472073,Operating Engineers and Other Construction Equipment Operators,55280
472080,"Drywall Installers, Ceiling Tile Installers, and Tapers",53360
472081,Drywall and Ceiling Tile Installers,51930
472082,Tapers,62140
472110,Electricians,61550
472111,Electricians,61550
472120,Glaziers,50970
472121,Glaziers,50970
472130,Insulation Workers,50800
472131,"Insulation Workers, Floor, Ceiling, and Wall",46860
472132,"Insulation Workers, Mechanical",55470
472140,Painters and Paperhangers,46500
472141,"Painters, Construction and Maintenance",46460
472142,Paperhangers,49820
472150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",59890
472151,Pipelayers,45060
472152,"Plumbers, Pipefitters, and Steamfitters",61100
472160,Plasterers and Stucco Masons,52100
472161,Plasterers and Stucco Masons,52100
472170,Reinforcing Iron and Rebar Workers,54700
472171,Reinforcing Iron and Rebar Workers,54700
472180,Roofers,47010
472181,Roofers,47010
472210,Sheet Metal Workers,55320
472211,Sheet Metal Workers,55320
472220,Structural Iron and Steel Workers,58650
472221,Structural Iron and Steel Workers,58650
472230,Solar Photovoltaic Installers,48020
472231,Solar Photovoltaic Installers,48020
473000,"Helpers, Construction Trades",35640
473010,"Helpers, Construction Trades",35640
473011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",40190
473012,Helpers--Carpenters,35360
473013,Helpers--Electricians,35440
473014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",33520
473015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",34990
473016,Helpers--Roofers,35080
473019,"Helpers, Construction Trades, All Other",35140
474000,Other Construction and Related Workers,52750
474010,Construction and Building Inspectors,66470
474011,Construction and Building Inspectors,66470
474020,Elevator and Escalator Installers and Repairers,86200
474021,Elevator and Escalator Installers and Repairers,86200
474030,Fence Erectors,40120
474031,Fence Erectors,40120
474040,Hazardous Materials Removal Workers,49170
474041,Hazardous Materials Removal Workers,49170
474050,Highway Maintenance Workers,43200
474051,Highway Maintenance Workers,43200
474060,Rail-Track Laying and Maintenance Equipment Operators,57430
474061,Rail-Track Laying and Maintenance Equipment Operators,57430
474070,Septic Tank Servicers and Sewer Pipe Cleaners,43930
474071,Septic Tank Servicers and Sewer Pipe Cleaners,43930
474090,Miscellaneous Construction and Related Workers,44180
474090,Miscellaneous Construction and Related Workers,44180
475000,Extraction Workers,49520
475010,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",53670
475011,"Derrick Operators, Oil and Gas",50280
475012,"Rotary Drill Operators, Oil and Gas",58940
475013,"Service Unit Operators, Oil and Gas",52510
475022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",48500
475041,Continuous Mining Machine Operators,58340
475043,"Roof Bolters, Mining",61900
475044,"Loading and Moving Machine Operators, Underground Mining",56100
475050,"Rock Splitters, Quarry",38430
475051,"Rock Splitters, Quarry",38430
475070,"Roustabouts, Oil and Gas",42160
475071,"Roustabouts, Oil and Gas",42160
475080,Helpers--Extraction Workers,39150
475081,Helpers--Extraction Workers,39150
475097,"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",51040
475098,"Underground Mining Machine Operators and Extraction Workers, All Other",53730
490000,"Installation, Maintenance, and Repair Occupations",52360
491000,"Supervisors of Installation, Maintenance, and Repair Workers",73100
491010,"First-Line Supervisors of Mechanics, Installers, and Repairers",73100
491011,"First-Line Supervisors of Mechanics, Installers, and Repairers",73100
492000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",57400
492010,"Computer, Automated Teller, and Office Machine Repairers",43790
492011,"Computer, Automated Teller, and Office Machine Repairers",43790
492020,Radio and Telecommunications Equipment Installers and Repairers,61900
492021,"Radio, Cellular, and Tower Equipment Installers and Repairers",60790
492022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",61980
492090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",58850
492091,Avionics Technicians,69180
492092,"Electric Motor, Power Tool, and Related Repairers",49250
492093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",70440
492094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",63350
492095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",83150
492096,"Electronic Equipment Installers and Repairers, Motor Vehicles",41250
492097,Audiovisual Equipment Installers and Repairers,44850
492098,Security and Fire Alarm Systems Installers,52150
493000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",49420
493010,Aircraft Mechanics and Service Technicians,69040
493011,Aircraft Mechanics and Service Technicians,69040
493020,Automotive Technicians and Repairers,47060
493021,Automotive Body and Related Repairers,49430
493022,Automotive Glass Installers and Repairers,39660
493023,Automotive Service Technicians and Mechanics,46760
493030,Bus and Truck Mechanics and Diesel Engine Specialists,52090
493031,Bus and Truck Mechanics and Diesel Engine Specialists,52090
493040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,55110
493041,Farm Equipment Mechanics and Service Technicians,45350
493042,"Mobile Heavy Equipment Mechanics, Except Engines",57000
493043,Rail Car Repairers,58250
493050,Small Engine Mechanics,41360
493051,Motorboat Mechanics and Service Technicians,45490
493052,Motorcycle Mechanics,40390
493053,Outdoor Power Equipment and Other Small Engine Mechanics,39090
493090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",33400
493091,Bicycle Repairers,33530
493092,Recreational Vehicle Service Technicians,43790
493093,Tire Repairers and Changers,31790
499000,"Other Installation, Maintenance, and Repair Occupations",49650
499010,Control and Valve Installers and Repairers,57120
499011,Mechanical Door Repairers,45350
499012,"Control and Valve Installers and Repairers, Except Mechanical Door",62400
499020,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",53410
499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",53410
499030,Home Appliance Repairers,43810
499031,Home Appliance Repairers,43810
499040,"Industrial Machinery Installation, Repair, and Maintenance Workers",56790
499041,Industrial Machinery Mechanics,57350
499043,"Maintenance Workers, Machinery",51960
499044,Millwrights,59080
499045,"Refractory Materials Repairers, Except Brickmasons",55080
499050,Line Installers and Repairers,67940
499051,Electrical Power-Line Installers and Repairers,74410
499052,Telecommunications Line Installers and Repairers,61860
499060,Precision Instrument and Equipment Repairers,53830
499061,Camera and Photographic Equipment Repairers,42740
499062,Medical Equipment Repairers,55090
499063,Musical Instrument Repairers and Tuners,39770
499064,Watch and Clock Repairers,48560
499069,"Precision Instrument and Equipment Repairers, All Other",62500
499070,"Maintenance and Repair Workers, General",43790
499071,"Maintenance and Repair Workers, General",43790
499080,Wind Turbine Service Technicians,59340
499081,Wind Turbine Service Technicians,59340
499090,"Miscellaneous Installation, Maintenance, and Repair Workers",43490
499091,"Coin, Vending, and Amusement Machine Servicers and Repairers",39710
499092,Commercial Divers,71850
499094,Locksmiths and Safe Repairers,46240
499095,Manufactured Building and Mobile Home Installers,36360
499096,Riggers,53020
499097,Signal and Track Switch Repairers,75970
499098,"Helpers--Installation, Maintenance, and Repair Workers",33960
499099,"Installation, Maintenance, and Repair Workers, All Other",46160
510000,Production Occupations,41760
511000,Supervisors of Production Workers,66800
511010,First-Line Supervisors of Production and Operating Workers,66800
511011,First-Line Supervisors of Production and Operating Workers,66800
512000,Assemblers and Fabricators,37550
512010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",55510
512011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",55510
512020,"Electrical, Electronics, and Electromechanical Assemblers",38810
512021,"Coil Winders, Tapers, and Finishers",40280
512028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",38750
512030,Engine and Other Machine Assemblers,47190
512031,Engine and Other Machine Assemblers,47190
512040,Structural Metal Fabricators and Fitters,44750
512041,Structural Metal Fabricators and Fitters,44750
512050,Fiberglass Laminators and Fabricators,38280
512051,Fiberglass Laminators and Fabricators,38280
512060,Timing Device Assemblers and Adjusters,39430
512061,Timing Device Assemblers and Adjusters,39430
512090,Miscellaneous Assemblers and Fabricators,35980
512090,Miscellaneous Assemblers and Fabricators,35980
513000,Food Processing Workers,32640
513010,Bakers,31060
513011,Bakers,31060
513020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",32370
513021,Butchers and Meat Cutters,34630
513022,"Meat, Poultry, and Fish Cutters and Trimmers",30800
513023,Slaughterers and Meat Packers,31210
513090,Miscellaneous Food Processing Workers,34170
513091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",35370
513092,Food Batchmakers,34970
513093,Food Cooking Machine Operators and Tenders,34180
513099,"Food Processing Workers, All Other",30680
514000,Metal Workers and Plastic Workers,43540
514020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",41310
514021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",38990
514022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",43480
514023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",45110
514030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",39500
514031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",38650
514032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",42800
514033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",38800
514034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",43100
514035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",44920
514040,Machinists,47800
514041,Machinists,47800
514050,"Metal Furnace Operators, Tenders, Pourers, and Casters",44860
514051,Metal-Refining Furnace Operators and Tenders,46000
514052,"Pourers and Casters, Metal",42440
514060,"Model Makers and Patternmakers, Metal and Plastic",54630
514061,"Model Makers, Metal and Plastic",58180
514062,"Patternmakers, Metal and Plastic",49570
514070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",36190
514071,Foundry Mold and Coremakers,38370
514072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",35960
514080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",39800
514081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",39800
514110,Tool and Die Makers,55520
514111,Tool and Die Makers,55520
514120,"Welding, Soldering, and Brazing Workers",46280
514121,"Welders, Cutters, Solderers, and Brazers",46690
514122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",41320
514190,Miscellaneous Metal Workers and Plastic Workers,40060
514191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",41680
514192,"Layout Workers, Metal and Plastic",50980
514193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",36950
514194,"Tool Grinders, Filers, and Sharpeners",43670
514199,"Metal Workers and Plastic Workers, All Other",39490
515100,Printing Workers,39890
515110,Printing Workers,39890
515111,Prepress Technicians and Workers,43370
515112,Printing Press Operators,40200
515113,Print Binding and Finishing Workers,36430
516000,"Textile, Apparel, and Furnishings Workers",29920
516010,Laundry and Dry-Cleaning Workers,26600
516011,Laundry and Dry-Cleaning Workers,26600
516020,"Pressers, Textile, Garment, and Related Materials",26050
516021,"Pressers, Textile, Garment, and Related Materials",26050
516030,Sewing Machine Operators,29420
516031,Sewing Machine Operators,29420
516040,Shoe and Leather Workers,31460
516041,Shoe and Leather Workers and Repairers,31480
516042,Shoe Machine Operators and Tenders,31430
516050,"Tailors, Dressmakers, and Sewers",35300
516051,"Sewers, Hand",30790
516052,"Tailors, Dressmakers, and Custom Sewers",36040
516060,"Textile Machine Setters, Operators, and Tenders",31900
516061,Textile Bleaching and Dyeing Machine Operators and Tenders,31600
516062,"Textile Cutting Machine Setters, Operators, and Tenders",30890
516063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",32370
516064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",32130
516090,"Miscellaneous Textile, Apparel, and Furnishings Workers",37890
516091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",39170
516092,Fabric and Apparel Patternmakers,57880
516093,Upholsterers,37870
516099,"Textile, Apparel, and Furnishings Workers, All Other",31070
517000,Woodworkers,35850
517010,Cabinetmakers and Bench Carpenters,38900
517011,Cabinetmakers and Bench Carpenters,38900
517020,Furniture Finishers,35040
517021,Furniture Finishers,35040
517030,"Model Makers and Patternmakers, Wood",62250
517031,"Model Makers, Wood",62600
517032,"Patternmakers, Wood",60750
517040,"Woodworking Machine Setters, Operators, and Tenders",33440
517041,"Sawing Machine Setters, Operators, and Tenders, Wood",33290
517042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",33540
517090,Miscellaneous Woodworkers,35710
517099,"Woodworkers, All Other",35710
518000,Plant and System Operators,65490
518010,"Power Plant Operators, Distributors, and Dispatchers",86720
518011,Nuclear Power Reactor Operators,104470
518012,Power Distributors and Dispatchers,93260
518013,Power Plant Operators,81890
518020,Stationary Engineers and Boiler Operators,68170
518021,Stationary Engineers and Boiler Operators,68170
518030,Water and Wastewater Treatment Plant and System Operators,51890
518031,Water and Wastewater Treatment Plant and System Operators,51890
518090,Miscellaneous Plant and System Operators,70700
518091,Chemical Plant and System Operators,65460
518092,Gas Plant Operators,73290
518093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",77610
518099,"Plant and System Operators, All Other",59600
519000,Other Production Occupations,40510
519010,"Chemical Processing Machine Setters, Operators, and Tenders",51120
519011,Chemical Equipment Operators and Tenders,53330
519012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",46850
519020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",40110
519021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",41290
519022,"Grinding and Polishing Workers, Hand",34380
519023,"Mixing and Blending Machine Setters, Operators, and Tenders",40960
519030,Cutting Workers,37690
519031,"Cutters and Trimmers, Hand",34190
519032,"Cutting and Slicing Machine Setters, Operators, and Tenders",38220
519040,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",38440
519041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",38440
519050,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",41910
519051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",41910
519060,"Inspectors, Testers, Sorters, Samplers, and Weighers",44580
519061,"Inspectors, Testers, Sorters, Samplers, and Weighers",44580
519070,Jewelers and Precious Stone and Metal Workers,48050
519071,Jewelers and Precious Stone and Metal Workers,48050
519080,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,42130
519081,Dental Laboratory Technicians,45230
519082,Medical Appliance Technicians,45630
519083,Ophthalmic Laboratory Technicians,36640
519110,Packaging and Filling Machine Operators and Tenders,35220
519111,Packaging and Filling Machine Operators and Tenders,35220
519120,Painting Workers,41770
519123,"Painting, Coating, and Decorating Workers",37540
519124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",42140
519140,Semiconductor Processing Technicians,45210
519141,Semiconductor Processing Technicians,45210
519150,Photographic Process Workers and Processing Machine Operators,39390
519151,Photographic Process Workers and Processing Machine Operators,39390
519160,Computer Numerically Controlled Tool Operators and Programmers,46740
519161,Computer Numerically Controlled Tool Operators,44300
519162,Computer Numerically Controlled Tool Programmers,61010
519190,Miscellaneous Production Workers,35660
519191,Adhesive Bonding Machine Operators and Tenders,37640
519192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",34600
519193,Cooling and Freezing Equipment Operators and Tenders,39610
519194,Etchers and Engravers,35230
519195,"Molders, Shapers, and Casters, Except Metal and Plastic",37370
519196,"Paper Goods Machine Setters, Operators, and Tenders",41480
519197,Tire Builders,45980
519198,Helpers--Production Workers,32000
519199,"Production Workers, All Other",35620
530000,Transportation and Material Moving Occupations,39680
531000,Supervisors of Transportation and Material Moving Workers,58330
531040,First-Line Supervisors of Transportation and Material Moving Workers,58330
531041,Aircraft Cargo Handling Supervisors,59620
531047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",58300
532000,Air Transportation Workers,111420
532010,Aircraft Pilots and Flight Engineers,163480
532011,"Airline Pilots, Copilots, and Flight Engineers",186870
532012,Commercial Pilots,110830
532020,Air Traffic Controllers and Airfield Operations Specialists,105120
532021,Air Traffic Controllers,127440
532022,Airfield Operations Specialists,58360
532030,Flight Attendants,59150
532031,Flight Attendants,59150
533000,Motor Vehicle Operators,42770
533010,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",30700
533011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",30700
533030,Driver/Sales Workers and Truck Drivers,44200
533031,Driver/Sales Workers,31870
533032,Heavy and Tractor-Trailer Truck Drivers,48710
533033,Light Truck Drivers,41050
533050,Passenger Vehicle Drivers,37300
533052,"Bus Drivers, Transit and Intercity",48110
533058,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",34360
533090,Miscellaneous Motor Vehicle Operators,40200
533099,"Motor Vehicle Operators, All Other",40200
534000,Rail Transportation Workers,65360
534010,Locomotive Engineers and Operators,68960
534011,Locomotive Engineers,70660
534013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",55200
534020,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",55890
534022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",55890
534030,Railroad Conductors and Yardmasters,65440
534031,Railroad Conductors and Yardmasters,65440
534040,Subway and Streetcar Operators,65480
534041,Subway and Streetcar Operators,65480
534090,Miscellaneous Rail Transportation Workers,54670
534099,"Rail Transportation Workers, All Other",54670
535000,Water Transportation Workers,73530
535010,Sailors and Marine Oilers,55680
535011,Sailors and Marine Oilers,55680
535020,Ship and Boat Captains and Operators,86860
